date,oil_price,is_national_holiday,is_local_holiday,transactions
2017-01-01,53.055,0,0,
2017-01-02,52.707499999999996,1,0,516.0
2017-01-03,52.36,0,0,1946.0
2017-01-04,53.26,0,0,1905.0
2017-01-05,53.77,0,0,1807.0
2017-01-06,53.98,0,0,1856.0
2017-01-07,53.303333333333335,0,0,1303.0
2017-01-08,52.626666666666665,0,0,558.0
2017-01-09,51.95,0,0,1798.0
2017-01-10,50.82,0,0,1732.0
2017-01-11,52.19,0,0,1868.0
2017-01-12,53.01,0,0,1688.0
2017-01-13,52.36,0,0,1831.0
2017-01-14,52.3825,0,0,1307.0
2017-01-15,52.405,0,0,537.0
2017-01-16,52.4275,0,0,1848.0
2017-01-17,52.45,0,0,1753.0
2017-01-18,51.12,0,0,1871.0
2017-01-19,51.39,0,0,1623.0
2017-01-20,52.33,0,0,1546.0
2017-01-21,52.47666666666667,0,0,1419.0
2017-01-22,52.623333333333335,0,0,534.0
2017-01-23,52.77,0,0,1836.0
2017-01-24,52.38,0,0,1763.0
2017-01-25,52.14,0,0,1867.0
2017-01-26,53.24,0,0,1630.0
2017-01-27,53.18,0,0,1871.0
2017-01-28,52.99666666666667,0,0,1328.0
2017-01-29,52.81333333333333,0,0,496.0
2017-01-30,52.63,0,0,1686.0
2017-01-31,52.75,0,0,1718.0
2017-02-01,53.9,0,0,1900.0
2017-02-02,53.55,0,0,1753.0
2017-02-03,53.81,0,0,1869.0
2017-02-04,53.54333333333334,0,0,1406.0
2017-02-05,53.276666666666664,0,0,557.0
2017-02-06,53.01,0,0,1773.0
2017-02-07,52.19,0,0,1887.0
2017-02-08,52.37,0,0,1912.0
2017-02-09,52.99,0,0,1750.0
2017-02-10,53.84,0,0,1858.0
2017-02-11,53.54666666666667,0,0,1372.0
2017-02-12,53.25333333333334,0,0,531.0
2017-02-13,52.96,0,0,1933.0
2017-02-14,53.21,0,0,2051.0
2017-02-15,53.11,0,0,1780.0
2017-02-16,53.41,0,0,1709.0
2017-02-17,53.41,0,0,1719.0
2017-02-18,53.5625,0,0,1378.0
2017-02-19,53.715,0,0,458.0
2017-02-20,53.8675,0,0,1645.0
2017-02-21,54.02,0,0,1762.0
2017-02-22,53.61,0,0,1769.0
2017-02-23,54.48,0,0,1733.0
2017-02-24,53.99,0,0,1918.0
2017-02-25,54.00666666666667,0,0,1146.0
2017-02-26,54.02333333333333,0,0,379.0
2017-02-27,54.04,1,0,383.0
2017-02-28,54.0,1,0,537.0
2017-03-01,53.82,0,0,1873.0
2017-03-02,52.63,0,0,1792.0
2017-03-03,53.33,0,0,1886.0
2017-03-04,53.28333333333333,0,0,1336.0
2017-03-05,53.236666666666665,0,0,532.0
2017-03-06,53.19,0,0,1728.0
2017-03-07,52.68,0,0,1802.0
2017-03-08,49.83,0,0,1914.0
2017-03-09,48.75,0,0,1616.0
2017-03-10,48.05,0,0,1771.0
2017-03-11,48.016666666666666,0,0,1314.0
2017-03-12,47.983333333333334,0,0,536.0
2017-03-13,47.95,0,0,1744.0
2017-03-14,47.24,0,0,1762.0
2017-03-15,48.34,0,0,1879.0
2017-03-16,48.3,0,0,1678.0
2017-03-17,48.34,0,0,1965.0
2017-03-18,48.156666666666666,0,0,1306.0
2017-03-19,47.973333333333336,0,0,581.0
2017-03-20,47.79,0,0,1791.0
2017-03-21,47.02,0,0,1719.0
2017-03-22,47.29,0,0,1739.0
2017-03-23,47.0,0,0,1799.0
2017-03-24,47.3,0,0,1858.0
2017-03-25,47.20666666666666,0,0,1320.0
2017-03-26,47.11333333333334,0,0,512.0
2017-03-27,47.02,0,0,1765.0
2017-03-28,48.36,0,0,1755.0
2017-03-29,49.47,0,0,1852.0
2017-03-30,50.3,0,0,1698.0
2017-03-31,50.54,0,0,1707.0
2017-04-01,50.443333333333335,0,0,1477.0
2017-04-02,50.346666666666664,0,0,557.0
2017-04-03,50.25,0,0,1759.0
2017-04-04,50.99,0,0,1747.0
2017-04-05,51.14,0,0,1930.0
2017-04-06,51.69,0,0,1779.0
2017-04-07,52.25,0,0,1846.0
2017-04-08,52.52,0,0,1311.0
2017-04-09,52.79,0,0,530.0
2017-04-10,53.06,0,0,1596.0
2017-04-11,53.38,0,0,1753.0
2017-04-12,53.12,0,0,1867.0
2017-04-13,53.19,0,0,1905.0
2017-04-14,53.0475,1,0,494.0
2017-04-15,52.905,0,0,1116.0
2017-04-16,52.762499999999996,0,0,483.0
2017-04-17,52.62,0,0,1750.0
2017-04-18,52.46,0,0,1652.0
2017-04-19,50.49,0,0,1802.0
2017-04-20,50.26,0,0,1579.0
2017-04-21,49.64,0,0,1958.0
2017-04-22,49.39333333333333,0,0,1338.0
2017-04-23,49.14666666666667,0,0,518.0
2017-04-24,48.9,0,0,1632.0
2017-04-25,49.22,0,0,1732.0
2017-04-26,49.22,0,0,1862.0
2017-04-27,48.96,0,0,1744.0
2017-04-28,49.31,0,0,1903.0
2017-04-29,49.15,0,0,1278.0
2017-04-30,48.99,0,0,498.0
2017-05-01,48.83,1,0,481.0
2017-05-02,47.65,0,0,1757.0
2017-05-03,47.79,0,0,1803.0
2017-05-04,45.55,0,0,1729.0
2017-05-05,46.23,0,0,1752.0
2017-05-06,46.306666666666665,0,0,1351.0
2017-05-07,46.38333333333333,0,0,523.0
2017-05-08,46.46,0,0,1740.0
2017-05-09,45.84,0,0,1784.0
2017-05-10,47.28,0,0,1831.0
2017-05-11,47.81,0,0,1608.0
2017-05-12,47.83,0,0,1982.0
2017-05-13,48.17333333333333,1,0,1487.0
2017-05-14,48.516666666666666,1,0,554.0
2017-05-15,48.86,0,0,1601.0
2017-05-16,48.64,0,0,1738.0
2017-05-17,49.04,0,0,1795.0
2017-05-18,49.36,0,0,1662.0
2017-05-19,50.32,0,0,1897.0
2017-05-20,50.483333333333334,0,0,1284.0
2017-05-21,50.64666666666667,0,0,495.0
2017-05-22,50.81,0,0,1758.0
2017-05-23,51.12,0,0,1701.0
2017-05-24,50.99,0,0,1844.0
2017-05-25,48.57,0,0,1663.0
2017-05-26,49.58,1,0,580.0
2017-05-27,49.5925,0,0,1116.0
2017-05-28,49.605000000000004,0,0,512.0
2017-05-29,49.6175,0,0,1750.0
2017-05-30,49.63,0,0,1770.0
2017-05-31,48.29,0,0,1878.0
2017-06-01,48.32,0,0,1815.0
2017-06-02,47.68,0,0,1925.0
2017-06-03,47.586666666666666,0,0,1420.0
2017-06-04,47.49333333333333,0,0,525.0
2017-06-05,47.4,0,0,1883.0
2017-06-06,48.13,0,0,1816.0
2017-06-07,45.8,0,0,1889.0
2017-06-08,45.68,0,0,1694.0
2017-06-09,45.82,0,0,1886.0
2017-06-10,45.913333333333334,0,0,1362.0
2017-06-11,46.00666666666667,0,0,585.0
2017-06-12,46.1,0,0,1711.0
2017-06-13,46.41,0,0,1766.0
2017-06-14,44.79,0,0,1832.0
2017-06-15,44.47,0,0,1776.0
2017-06-16,44.73,0,0,1946.0
2017-06-17,44.56666666666666,0,0,1388.0
2017-06-18,44.403333333333336,0,0,577.0
2017-06-19,44.24,0,0,1747.0
2017-06-20,43.34,0,0,1778.0
2017-06-21,42.48,0,0,1841.0
2017-06-22,42.53,0,0,1739.0
2017-06-23,42.86,0,0,1843.0
2017-06-24,42.986666666666665,0,0,1299.0
2017-06-25,43.11333333333334,0,0,517.0
2017-06-26,43.24,0,0,1752.0
2017-06-27,44.25,0,0,1764.0
2017-06-28,44.74,0,0,1906.0
2017-06-29,44.88,0,0,1645.0
2017-06-30,46.02,0,0,1852.0
2017-07-01,45.838,0,0,1362.0
2017-07-02,45.656,0,0,542.0
2017-07-03,45.474000000000004,0,0,1890.0
2017-07-04,45.292,0,0,1803.0
2017-07-05,45.11,0,0,1913.0
2017-07-06,45.52,0,0,1698.0
2017-07-07,44.25,0,0,1843.0
2017-07-08,44.3,0,0,1366.0
2017-07-09,44.35,0,0,579.0
2017-07-10,44.4,0,0,1814.0
2017-07-11,45.06,0,0,1760.0
2017-07-12,45.48,0,0,1970.0
2017-07-13,46.06,0,0,1679.0
2017-07-14,46.53,0,0,1867.0
2017-07-15,46.36,0,0,1338.0
2017-07-16,46.190000000000005,0,0,518.0
2017-07-17,46.02,0,0,1739.0
2017-07-18,46.4,0,0,1733.0
2017-07-19,47.1,0,0,1797.0
2017-07-20,46.73,0,0,1774.0
2017-07-21,45.78,0,0,1878.0
2017-07-22,45.92333333333333,0,0,1333.0
2017-07-23,46.06666666666667,0,0,547.0
2017-07-24,46.21,0,0,1807.0
2017-07-25,47.77,0,0,1785.0
2017-07-26,48.58,0,0,1903.0
2017-07-27,49.05,0,0,1729.0
2017-07-28,49.72,0,0,1848.0
2017-07-29,49.88333333333333,0,0,1251.0
2017-07-30,50.04666666666667,0,0,519.0
2017-07-31,50.21,0,0,1872.0
