date,store_nbr,family,sales,onpromotion
2017-01-01,1,AUTOMOTIVE,0.0,0
2017-01-02,1,AUTOMOTIVE,5.0,0
2017-01-03,1,AUTOMOTIVE,4.0,0
2017-01-04,1,AUTOMOTIVE,1.0,0
2017-01-05,1,AUTOMOTIVE,2.0,0
2017-01-06,1,AUTOMOTIVE,2.0,0
2017-01-07,1,AUTOMOTIVE,5.0,0
2017-01-08,1,AUTOMOTIVE,0.0,0
2017-01-09,1,AUTOMOTIVE,2.0,0
2017-01-10,1,AUTOMOTIVE,3.0,0
2017-01-11,1,AUTOMOTIVE,10.0,0
2017-01-12,1,AUTOMOTIVE,2.0,0
2017-01-13,1,AUTOMOTIVE,3.0,0
2017-01-14,1,AUTOMOTIVE,2.0,0
2017-01-15,1,AUTOMOTIVE,1.0,0
2017-01-16,1,AUTOMOTIVE,3.0,0
2017-01-17,1,AUTOMOTIVE,2.0,0
2017-01-18,1,AUTOMOTIVE,3.0,0
2017-01-19,1,AUTOMOTIVE,2.0,0
2017-01-20,1,AUTOMOTIVE,2.0,0
2017-01-21,1,AUTOMOTIVE,5.0,0
2017-01-22,1,AUTOMOTIVE,3.0,0
2017-01-23,1,AUTOMOTIVE,4.0,0
2017-01-24,1,AUTOMOTIVE,7.0,0
2017-01-25,1,AUTOMOTIVE,6.0,0
2017-01-26,1,AUTOMOTIVE,12.0,0
2017-01-27,1,AUTOMOTIVE,2.0,0
2017-01-28,1,AUTOMOTIVE,6.0,0
2017-01-29,1,AUTOMOTIVE,0.0,0
2017-01-30,1,AUTOMOTIVE,3.0,0
2017-01-31,1,AUTOMOTIVE,5.0,0
2017-02-01,1,AUTOMOTIVE,7.0,0
2017-02-02,1,AUTOMOTIVE,3.0,0
2017-02-03,1,AUTOMOTIVE,1.0,0
2017-02-04,1,AUTOMOTIVE,4.0,0
2017-02-05,1,AUTOMOTIVE,3.0,0
2017-02-06,1,AUTOMOTIVE,4.0,0
2017-02-07,1,AUTOMOTIVE,2.0,0
2017-02-08,1,AUTOMOTIVE,6.0,0
2017-02-09,1,AUTOMOTIVE,5.0,0
2017-02-10,1,AUTOMOTIVE,3.0,0
2017-02-11,1,AUTOMOTIVE,5.0,0
2017-02-12,1,AUTOMOTIVE,4.0,0
2017-02-13,1,AUTOMOTIVE,3.0,0
2017-02-14,1,AUTOMOTIVE,2.0,0
2017-02-15,1,AUTOMOTIVE,3.0,0
2017-02-16,1,AUTOMOTIVE,3.0,0
2017-02-17,1,AUTOMOTIVE,7.0,0
2017-02-18,1,AUTOMOTIVE,3.0,0
2017-02-19,1,AUTOMOTIVE,0.0,0
2017-02-20,1,AUTOMOTIVE,2.0,0
2017-02-21,1,AUTOMOTIVE,2.0,0
2017-02-22,1,AUTOMOTIVE,4.0,0
2017-02-23,1,AUTOMOTIVE,1.0,0
2017-02-24,1,AUTOMOTIVE,13.0,0
2017-02-25,1,AUTOMOTIVE,2.0,0
2017-02-26,1,AUTOMOTIVE,1.0,0
2017-02-27,1,AUTOMOTIVE,3.0,0
2017-02-28,1,AUTOMOTIVE,2.0,0
2017-03-01,1,AUTOMOTIVE,1.0,0
2017-03-02,1,AUTOMOTIVE,3.0,0
2017-03-03,1,AUTOMOTIVE,5.0,0
2017-03-04,1,AUTOMOTIVE,6.0,0
2017-03-05,1,AUTOMOTIVE,0.0,0
2017-03-06,1,AUTOMOTIVE,5.0,0
2017-03-07,1,AUTOMOTIVE,3.0,0
2017-03-08,1,AUTOMOTIVE,3.0,0
2017-03-09,1,AUTOMOTIVE,4.0,0
2017-03-10,1,AUTOMOTIVE,3.0,0
2017-03-11,1,AUTOMOTIVE,0.0,0
2017-03-12,1,AUTOMOTIVE,4.0,0
2017-03-13,1,AUTOMOTIVE,3.0,0
2017-03-14,1,AUTOMOTIVE,3.0,0
2017-03-15,1,AUTOMOTIVE,7.0,0
2017-03-16,1,AUTOMOTIVE,4.0,0
2017-03-17,1,AUTOMOTIVE,6.0,0
2017-03-18,1,AUTOMOTIVE,3.0,0
2017-03-19,1,AUTOMOTIVE,1.0,0
2017-03-20,1,AUTOMOTIVE,3.0,0
2017-03-21,1,AUTOMOTIVE,8.0,0
2017-03-22,1,AUTOMOTIVE,3.0,0
2017-03-23,1,AUTOMOTIVE,3.0,0
2017-03-24,1,AUTOMOTIVE,7.0,0
2017-03-25,1,AUTOMOTIVE,5.0,0
2017-03-26,1,AUTOMOTIVE,5.0,0
2017-03-27,1,AUTOMOTIVE,6.0,0
2017-03-28,1,AUTOMOTIVE,4.0,0
2017-03-29,1,AUTOMOTIVE,2.0,0
2017-03-30,1,AUTOMOTIVE,3.0,0
2017-03-31,1,AUTOMOTIVE,5.0,0
2017-04-01,1,AUTOMOTIVE,9.0,0
2017-04-02,1,AUTOMOTIVE,4.0,0
2017-04-03,1,AUTOMOTIVE,11.0,0
2017-04-04,1,AUTOMOTIVE,3.0,0
2017-04-05,1,AUTOMOTIVE,5.0,0
2017-04-06,1,AUTOMOTIVE,10.0,0
2017-04-07,1,AUTOMOTIVE,9.0,0
2017-04-08,1,AUTOMOTIVE,8.0,0
2017-04-09,1,AUTOMOTIVE,2.0,0
2017-04-10,1,AUTOMOTIVE,5.0,0
2017-04-11,1,AUTOMOTIVE,6.0,0
2017-04-12,1,AUTOMOTIVE,3.0,0
2017-04-13,1,AUTOMOTIVE,9.0,0
2017-04-14,1,AUTOMOTIVE,1.0,0
2017-04-15,1,AUTOMOTIVE,3.0,0
2017-04-16,1,AUTOMOTIVE,1.0,0
2017-04-17,1,AUTOMOTIVE,1.0,0
2017-04-18,1,AUTOMOTIVE,3.0,0
2017-04-19,1,AUTOMOTIVE,4.0,0
2017-04-20,1,AUTOMOTIVE,2.0,0
2017-04-21,1,AUTOMOTIVE,5.0,0
2017-04-22,1,AUTOMOTIVE,5.0,0
2017-04-23,1,AUTOMOTIVE,1.0,0
